postcode,name,address
LU1 2SE,Papa John's,"26 Chapel Street, Luton"
BL1 3QB,Valentinos Pizza and Grill,"288 Halliwell Road, Bolton"
M27 4AE,Chopsticks Restaurant,"161-169 Chorley Road, Swinton"
BL4 7BB,Godfather,"46 Albert Road, Bolton"
BL1 1QQ,The Grill,"70 Bradshaw Gate, Bolton"
BL1 1QD,The Food Factory,"69 Bradshawgate, Bolton"
BL1 2HE,Shah's Peri Peri,"41 Higher Bridge Street, Bolton"
BL1 6PU,Bengal Spice,"44 Old Rd, Bolton"
BL2 1AY,Spice Hut,"116-118 Bradshawgate, Bolton"
BL1 1HU,Tasty Kings Kebab,"1 Church Gate, Bolton"
BL3 3NH,Chicken Shaq,"10 Saint Helens Road, Bolton"
BL1 1QD,Papa John's,"Unit 1, The Picture House, 101 Bradshawgate, Bolton"
M28 3JE,Koi Sushi and Oriental,"13 Bridgewater Road, Manchester"
BL4 7LE,The Curry Centre,"68 Egerton Street, Moses Gate"
BL2 6PY,Tonge Thai,"1043 Bury Road, Bolton"
BL4 7NS,Rancheros One,"53 Market Street, Farnworth, Bolton"
M38 9DX,Kebab King,"95 Manchester Road West, Manchester"
LS13 2NZ,Blue Tiger,"16 Ganners Hill, Leeds"
BL1 4LH,Gilnow Chippy,"3 Gilnow Road, Bolton"
BL1 1SN,A M Mians,"60 Great Moor Street, Bolton"
BL3 6LS,Skewers,"390 Derby Street, Bolton"
BL4 8NZ,The New Shabna Tandoori,"44-46 Manchester Road, Kearsley, Bolton"
BL2 3BG,Pizza and Kebab House,"499 Tonge Moor Road, Bolton"
M28 3JE,Mario's,"4 Bridgewater Road, Worsley, Manchester"
BL1 3QD,Rodeo Drive Diner,"242 Halliwell Road, Bolton"
BL3 6AB,Dixy Chicken,"104 Newport Street, Bolton"
BL2 6BB,Yummies Kebab and Curry House,"321 Bury Road, Bolton"
BL3 3NL,Ashy's Chippery and Takeaway,"17 St Helens Road, Bolton"
BL1 4JU,Prego,"310 Chorley Old Road, Bolton"
M38 9WT,Sizzling Spice,"2 Cleggs Lane, Little Hulton, Manchester"
BL1 4JU,Hilal Curry and Kebab,"296 Chorley OId Road, Bolton"
M38 9RQ,Raz's,"302 Cleggs Lane, Manchester"
BL2 2ER,Pizza 2 Go,"4 Entwistle Street, Bolton"
BL2 2LS,Star City,"67 Thicketford Road, Bolton"
BL3 4LJ,Pizza Plus,"418 Hulton Lane, Bolton"
BL1 2EG,Yolo Burgers and Shakes Bar,"46 Bridge Street, Bolton"
BL4 8EX,Chillis Pizza,"113 Market Street, Farnworth"
